,Release_Date,ID,Title,Budget,Revenue,Profit,Runtime,Rating,Genres,Sub-genres,MPAA,numTop1k
178,2017-03-31,295693,The Boss Baby,125000000,498814908,373814908,97,6.4,Animation,Comedy,PG,4
179,2017-07-14,281338,War for the Planet of the Apes,150000000,488533726,338533726,140,7.0,Drama,Science Fiction,PG-13,3
180,2018-04-27,299536,Avengers: Infinity War,300000000,2046239637,1746239637,149,8.3,Adventure,Action,PG-13,9
181,2018-02-16,284054,Black Panther,200000000,1346739107,1146739107,134,7.4,Action,Adventure,PG-13,5
182,2018-06-22,351286,Jurassic World: Fallen Kingdom,170000000,1303459585,1133459585,129,6.5,Action,Adventure,PG-13,3
183,2018-06-15,260513,Incredibles 2,200000000,1241891456,1041891456,118,7.6,Action,Adventure,PG,5
184,2018-12-21,297802,Aquaman,160000000,1143689193,983689193,144,6.8,Action,Adventure,PG-13,5
185,2018-11-02,424694,Bohemian Rhapsody,52000000,894027543,842027543,135,8.1,Drama,Music,PG-13,1
186,2018-10-05,335983,Venom,116000000,855013954,739013954,112,6.6,Science Fiction,Action,PG-13,3
187,2018-07-27,353081,Mission: Impossible - Fallout,178000000,791017452,613017452,148,7.3,Action,Adventure,PG-13,5
188,2018-05-10,383498,Deadpool 2,110000000,741547413,631547413,121,7.5,Action,Comedy,R,2
189,2018-11-16,338952,Fantastic Beasts: The Crimes of Grindelwald,200000000,653355901,453355901,134,6.9,Adventure,Fantasy,PG-13,4
190,2018-07-06,363088,Ant-Man and the Wasp,140000000,622674139,482674139,119,7.0,Action,Adventure,PG-13,3
191,2018-03-29,333339,Ready Player One,175000000,582890172,407890172,140,7.6,Adventure,Science Fiction,PG-13,2
192,2018-02-23,460555,Operation Red Sea,70000000,579220560,509220560,142,6.5,Action,Thriller,NR,0
193,2018-11-21,404368,Ralph Breaks the Internet,175000000,529221154,354221154,112,7.2,Family,Animation,PG,5
194,2018-11-09,360920,The Grinch,75000000,508575295,433575295,90,6.4,Animation,Family,PG,5
195,2018-12-21,424783,Bumblebee,135000000,465895025,330895025,114,6.5,Action,Adventure,PG-13,1
196,2018-10-05,332562,A Star Is Born,36000000,433888866,397888866,135,7.5,Drama,Romance,R,3
197,2018-04-13,427641,Rampage,120000000,426245950,306245950,107,6.2,Action,Adventure,PG-13,1
198,2018-05-25,348350,Solo: A Star Wars Story,250000000,392952373,142952373,135,6.6,Action,Adventure,PG-13,5
199,2019-04-26,299534,Avengers: Endgame,356000000,2795486053,2439486053,181,8.3,Adventure,Science Fiction,PG-13,9
200,2019-07-02,429617,Spider-Man: Far from Home,160000000,1218000000,1058000000,129,7.7,Action,Adventure,PG-13,4
201,2019-03-08,299537,Captain Marvel,152000000,1128274794,976274794,124,7.0,Action,Adventure,PG-13,5
202,2019-07-19,420818,The Lion King,260000000,1023582142,763582142,118,7.2,Adventure,Animation,PG,3
203,2019-05-24,420817,Aladdin,183000000,967101139,784101139,128,7.1,Adventure,Fantasy,PG,1
204,2019-08-02,384018,Fast & Furious Presents: Hobbs & Shaw,200000000,591212350,391212350,136,6.5,Action,,PG-13,3
205,2019-06-21,301528,Toy Story 4,175000000,519802847,344802847,100,7.7,Adventure,Animation,G,4
206,2019-02-22,166428,How to Train Your Dragon: The Hidden World,129000000,517526875,388526875,104,7.7,Animation,Family,PG,5
207,2019-05-10,447404,Pokémon Detective Pikachu,150000000,427492041,277492041,105,7.0,Action,Adventure,PG,2
208,2019-02-14,399579,Alita: Battle Angel,170000000,404852543,234852543,122,6.8,Action,Science Fiction,PG-13,5
209,2019-05-31,373571,Godzilla: King of the Monsters,170000000,383181670,213181670,132,6.1,Science Fiction,Action,PG-13,5
210,2019-03-23,287947,Shazam!,80000000,363533271,283533271,132,7.0,Action,Comedy,PG-13,2
211,2019-05-17,458156,John Wick: Chapter 3 – Parabellum,55000000,318642310,263642310,131,7.1,Action,Thriller,R,5
212,2019-03-22,458723,Us,20000000,254664460,234664460,116,7.0,Thriller,Horror,R,2
213,2019-06-14,479455,Men in Black: International,110000000,252608480,142608480,115,5.9,Action,Comedy,PG-13,4
214,2019-01-18,450465,Glass,20000000,246941965,226941965,129,6.6,Thriller,Drama,PG-13,4
215,2019-06-07,320288,Dark Phoenix,200000000,245000000,45000000,114,6.1,Science Fiction,Action,PG-13,5
216,2019-09-06,474350,It Chapter Two,79000000,237168524,158168524,169,7.2,Horror,Comedy,R,6
217,2019-03-29,329996,Dumbo,170000000,215832199,45832199,112,6.6,Adventure,Family,PG,6
